Latitude,Longitude,Accident_Date,Accident_Time,Light_Condition,Speed_Zone
-38.21528,145.49768,13/2/2014,0.9583,0.5,0.8333
-37.56095,143.85044,14/2/2014,0.3125,0.5,0.4167
-37.86269,144.81404,14/2/2014,0.3417,1,0.5
-37.70285,145.10085,14/2/2014,0.39,1,0.5
-37.74463,144.91008,27/10/2013,0.6346,1,0.5
-37.68614,144.94907,24/10/2013,0.7083,1,0.5
-37.81986,145.01171,14/2/2014,0.0125,0,0.4167
-37.92116,145.05912,28/2/2014,0.3521,1,0.5
-38.20323,145.63089,28/2/2014,0.3563,1,0.8333
-37.30058,146.14663,21/2/2014,0.5833,1,0.6667
-37.56669,144.71407,22/2/2014,0.5417,1,0.4167
-38.24015,146.4076,28/2/2014,0.6375,1,0.6667
-37.77982,145.08521,28/2/2014,0.6896,1,0.8333
-36.34754,145.43184,1/3/2014,0.3,0.5,0.8333
-37.86927,144.83027,1/3/2014,0.3875,1,0.4167
-37.62303,145.02878,1/3/2014,0.5521,1,0.6667
-38.03046,144.43062,1/3/2014,0.4333,1,0.6667
-37.8641,145.09316,1/3/2014,0.6292,1,0.5
-37.92564,145.21415,1/3/2014,0.6729,1,0.6667
-37.79068,144.97977,18/3/2014,0.3104,0.5,0.5
-37.77996,145.43787,17/3/2014,0.6021,1,0.5833
-36.35746,145.40223,18/1/2014,0.5846,1,0.6667
-37.74362,144.84395,18/2/2014,0.2938,0.5,0.8333
-37.69349,144.99782,18/3/2014,0.5433,1,0.5833
-37.58532,143.8396,18/3/2014,0.5417,1,0.5
-37.76979,144.89898,13/3/2014,0.7188,0.5,0.5
-37.68684,144.47864,4/1/2014,0.5042,1,0.5
-37.82678,144.95911,11/1/2014,0.625,1,0.4167
-36.80384,144.16792,18/3/2014,0.7958,0,0.8333
-37.6819,144.58298,19/3/2014,0.375,1,0.4167
-38.49037,146.00107,19/3/2014,0.3521,1,0.8333
-37.88854,144.74648,19/3/2014,0.3458,1,0.4167
-38.08447,145.29565,2/4/2014,0.6042,1,0.6667
-37.77522,144.82906,26/3/2014,0.3396,1,0.5
-37.72577,144.86216,2/4/2014,0.6771,1,0.8333
-37.86178,144.99406,2/4/2014,0.6875,1,0.5
-37.84967,145.23409,2/4/2014,0.6292,1,0.6667
-37.79796,144.87987,28/1/2014,0.3579,1,0.4167
-37.8009,145.07648,29/3/2014,0.55,1,0.4167
-37.81414,145.33173,29/3/2014,0.55,1,0.6667
-38.23503,145.73755,3/4/2014,0.0833,0,0.6667
-37.63808,144.95031,21/8/2013,0.5958,1,0.6667
-37.75529,144.96415,2/4/2014,0.7208,0.5,0.5
-38.16209,141.28576,2/4/2014,0.5979,1,0.8333
-38.30773,145.1813,14/2/2014,0.2917,0.5,0.5
-37.83863,145.27108,14/2/2014,0.2542,0.5,0.4167
-37.79012,145.26586,14/2/2014,0.7725,1,0.6667
-38.33051,144.96939,14/2/2014,0.9229,0.5,0.4167
-37.83477,145.17304,14/2/2014,0.7292,1,0.5833
-37.82108,145.02221,10/2/2014,0.3417,1,0.5
-37.84584,145.13348,13/2/2014,0.8938,0.5,0.5
-38.17018,144.38991,15/2/2014,0.2583,0.5,0.5833
-37.6518,144.93038,15/2/2014,0.3333,1,0.6667
-38.10844,147.03811,14/2/2014,0.3875,1,0.6667
-37.73032,145.00055,15/2/2014,0.3771,1,0.5
-37.70096,145.06838,1/3/2014,0.7229,1,0.5
-38.07054,145.15018,1/3/2014,0.7988,0.5,0.8333
-37.94631,144.26583,1/3/2014,0.8542,0.5,0.8333
-35.33681,143.54804,1/3/2014,0.9313,0,0.4167
-37.83242,144.91215,2/3/2014,0.3146,0.5,0.5
-37.78198,144.97161,24/1/2014,0.3483,1,0.4167
-37.85654,144.97169,2/3/2014,0.3792,1,0.4167
-37.76099,144.96442,2/3/2014,0.585,1,0.4167
-37.80326,144.89239,2/3/2014,0.4688,1,0.5
-37.90951,145.08524,20/2/2014,0.5958,1,0.5
-37.81996,145.36403,2/3/2014,0.5167,1,0.5
-37.81446,144.96326,2/3/2014,0.6438,1,0.3333
-37.61159,145.03079,2/3/2014,0.6021,1,0.5
-37.80095,145.01207,19/3/2014,0.4708,0,0.4167
-37.71177,144.83131,19/3/2014,0.2562,0,0.5833
-37.72605,144.86033,19/3/2014,0.5583,1,0.8333
-37.88575,145.1647,19/3/2014,0.6362,1,0.5
-37.68528,145.02905,19/3/2014,0.7217,0.5,0.5833
-37.73704,144.89257,19/3/2014,0.64,1,0.4167
-38.3302,145.54928,19/3/2014,0.7562,0.5,0.8333
-37.87121,145.23307,15/3/2014,0.8363,0.5,0.6667
-37.79331,144.99012,20/3/2014,0.4583,1,0.4167
-37.71367,145.00808,12/12/2013,0.2979,1,0.5
-37.87924,144.73577,3/3/2014,0.3875,1,0.4167
